year,week,url
2016,18,https://idsp.mohfw.gov.in/WriteReadData/l892s/72914162941466750136.pdf
2016,19,https://idsp.mohfw.gov.in/WriteReadData/l892s/95133348011466750283.pdf
2016,20,https://idsp.mohfw.gov.in/WriteReadData/l892s/2958396131466750320.pdf
2016,21,https://idsp.mohfw.gov.in/WriteReadData/l892s/24529831491467368085.pdf
2016,22,https://idsp.mohfw.gov.in/WriteReadData/l892s/73651938401470919034.pdf
2016,23,https://idsp.mohfw.gov.in/WriteReadData/l892s/1017710531470919065.pdf
2016,24,https://idsp.mohfw.gov.in/WriteReadData/l892s/66156980721470919091.pdf
2016,25,https://idsp.mohfw.gov.in/WriteReadData/l892s/72219634171470919115.pdf
2016,26,https://idsp.mohfw.gov.in/WriteReadData/l892s/33166532671470919134.pdf
2016,27,https://idsp.mohfw.gov.in/WriteReadData/l892s/69286944421470997079.pdf
2016,28,https://idsp.mohfw.gov.in/WriteReadData/l892s/81165166051471513557.pdf
2016,29,https://idsp.mohfw.gov.in/WriteReadData/l892s/90160646731472206250.pdf
2016,30,https://idsp.mohfw.gov.in/WriteReadData/l892s/31559774371473068473.pdf
2016,31,https://idsp.mohfw.gov.in/WriteReadData/l892s/58448966271473417376.pdf
2016,32,https://idsp.mohfw.gov.in/WriteReadData/l892s/322016.pdf
2016,33,https://idsp.mohfw.gov.in/WriteReadData/l892s/332016.pdf
2016,34,https://idsp.mohfw.gov.in/WriteReadData/l892s/342016.pdf
2016,35,https://idsp.mohfw.gov.in/WriteReadData/l892s/352016.pdf
2016,36,https://idsp.mohfw.gov.in/WriteReadData/l892s/362016.pdf
2016,37,https://idsp.mohfw.gov.in/WriteReadData/l892s/372016.pdf
2016,38,https://idsp.mohfw.gov.in/WriteReadData/l892s/382016.pdf
2016,39,https://idsp.mohfw.gov.in/WriteReadData/l892s/392016.pdf
2016,40,https://idsp.mohfw.gov.in/WriteReadData/l892s/402016.pdf
2016,41,https://idsp.mohfw.gov.in/WriteReadData/l892s/412016.pdf
2016,42,https://idsp.mohfw.gov.in/WriteReadData/l892s/422016.pdf
